UPRN,TOID
10023713142,osgb1000002315310483
10023713141,osgb1000002315310482
10023713140,osgb1000002315310481
10023713135,osgb1000002315258182
10023713134,osgb1000002315258161
10023713133,osgb1000002315258181
10023713119,osgb1000002315258160
10023713118,osgb1000002315258159
10023713117,osgb1000002315258174
10023713116,osgb1000002315258175
10023713115,osgb1000002315258157
10023713114,osgb1000002315258187
10023713113,osgb1000002315258186
10023713105,osgb1000002315255691
10023713112,osgb1000002315258155
10023713104,osgb1000002315255692
10023713106,osgb1000002315255698
10023713107,osgb1000002315255697
10023713111,osgb1000002315258156
10023713103,osgb1000002315255690
10023713110,osgb1000002315258158
10023713102,osgb1000002315255689
10023713109,osgb1000002315255700
10023713108,osgb1000002315255699
10023713132,osgb1000002315255701
10023713131,osgb1000002315255703
10023713130,osgb1000002315255702
10023713129,osgb1000002315255705
10023713128,osgb1000002315255704
10013855826,osgb1000002315443153
10013855827,osgb1000002315443151
10091030645,osgb5000005198387525
10091030641,osgb5000005198387526
10091030646,osgb5000005198387527
10091030642,osgb5000005198387526
10024247327,osgb1000013031138
10003328367,osgb1000013031137
10024247325,osgb1000013031411
10024247324,osgb1000013031133
10023714607,osgb1000002315248339
10023714608,osgb1000002315248339
10023714606,osgb1000002315248330
10023714604,osgb1000002315248348
10023714602,osgb1000002315248347
10013855836,osgb1000002315443152
10024249603,osgb1000002315504777
10024249604,osgb1000002315504776
10024249605,osgb1000002315504775
10024249606,osgb1000002315504774
100062042251,osgb1000013017485
100062042260,osgb1000013017485
100062042261,osgb1000013017485
100062042252,osgb1000013017485
100062042253,osgb1000013017485
100062042254,osgb1000013017485
100062042255,osgb1000013017485
100062042256,osgb1000013017485
100062042257,osgb1000013017485
100062042258,osgb1000013017485
100062042259,osgb1000013017485
10091028431,osgb5000005185193271
10091028430,osgb5000005200285331
10091028432,osgb5000005185193269
10091028433,osgb5000005185193270
10091028434,osgb5000005185193267
10091028435,osgb5000005185193268
100062042234,osgb1000013017492
100062042232,osgb1000013017492
100062042233,osgb1000013017492
100062042235,osgb1000013017492
